id,faixa_etaria,profissao,cidade,estado
1,36-45,Professor,Caxias do Sul,RS
2,60+,Professor,Curitiba,PR
3,46-60,Auxiliar Administrativo,Salvador,BA
4,26-35,Administrador,Curitiba,PR
5,60+,Auxiliar Administrativo,Londrina,PR
6,46-60,Engenheiro,Salvador,BA
7,36-45,Programador,Caxias do Sul,RS
8,46-60,Programador,Campinas,SP
9,26-35,Professor,Londrina,PR
10,60+,Enfermeiro,Feira de Santana,BA
11,26-35,Professor,Campinas,SP
12,18-25,Administrador,Campinas,SP
13,26-35,Enfermeiro,São Paulo,SP
14,36-45,Engenheiro,Salvador,BA
15,26-35,Estudante,Niterói,RJ
16,46-60,Engenheiro,Rio de Janeiro,RJ
17,26-35,Engenheiro,Curitiba,PR
18,36-45,Professor,Rio de Janeiro,RJ
19,26-35,Estudante,Londrina,PR
20,36-45,Vendedor,Porto Alegre,RS
21,60+,Contador,Campinas,SP
22,60+,Técnico em Enfermagem,Belo Horizonte,MG
23,60+,Analista de Sistemas,Niterói,RJ
24,36-45,Vendedor,Campinas,SP
25,60+,Professor,Caxias do Sul,RS
26,26-35,Técnico em Enfermagem,Salvador,BA
27,60+,Programador,Caxias do Sul,RS
28,36-45,Analista de Sistemas,Caxias do Sul,RS
29,26-35,Auxiliar Administrativo,Campinas,SP
30,60+,Administrador,Campinas,SP
31,60+,Técnico em Enfermagem,Curitiba,PR
32,18-25,Professor,Campinas,SP
33,26-35,Vendedor,Caxias do Sul,RS
34,60+,Vendedor,Caxias do Sul,RS
35,26-35,Estudante,Porto Alegre,RS
36,36-45,Analista de Sistemas,Porto Alegre,RS
37,60+,Administrador,Feira de Santana,BA
38,18-25,Administrador,Rio de Janeiro,RJ
39,46-60,Vendedor,Caxias do Sul,RS
40,46-60,Enfermeiro,Belo Horizonte,MG
41,26-35,Vendedor,Uberlândia,MG
42,60+,Engenheiro,Uberlândia,MG
43,46-60,Estudante,Salvador,BA
44,36-45,Técnico em Enfermagem,São Paulo,SP
45,60+,Professor,Salvador,BA
46,26-35,Enfermeiro,Uberlândia,MG
47,26-35,Enfermeiro,Caxias do Sul,RS
48,26-35,Engenheiro,Curitiba,PR
49,26-35,Engenheiro,Curitiba,PR
50,18-25,Vendedor,Caxias do Sul,RS
51,60+,Enfermeiro,Campinas,SP
52,18-25,Programador,Rio de Janeiro,RJ
53,36-45,Técnico em Enfermagem,Niterói,RJ
54,60+,Engenheiro,Caxias do Sul,RS
55,46-60,Auxiliar Administrativo,Niterói,RJ
56,60+,Contador,Curitiba,PR
57,46-60,Estudante,Rio de Janeiro,RJ
58,26-35,Engenheiro,Uberlândia,MG
59,60+,Auxiliar Administrativo,São Paulo,SP
60,36-45,Professor,Niterói,RJ
61,46-60,Vendedor,Rio de Janeiro,RJ
62,26-35,Estudante,Rio de Janeiro,RJ
63,26-35,Enfermeiro,Salvador,BA
64,26-35,Programador,Curitiba,PR
65,26-35,Programador,Feira de Santana,BA
66,46-60,Administrador,Feira de Santana,BA
67,46-60,Professor,Uberlândia,MG
68,60+,Professor,Feira de Santana,BA
69,18-25,Analista de Sistemas,Curitiba,PR
70,60+,Analista de Sistemas,Caxias do Sul,RS
71,26-35,Enfermeiro,Niterói,RJ
72,36-45,Estudante,Niterói,RJ
73,36-45,Técnico em Enfermagem,Feira de Santana,BA
74,36-45,Enfermeiro,Porto Alegre,RS
75,60+,Analista de Sistemas,Curitiba,PR
76,26-35,Engenheiro,Belo Horizonte,MG
77,60+,Professor,Londrina,PR
78,18-25,Professor,Niterói,RJ
79,26-35,Contador,São Paulo,SP
80,60+,Contador,Londrina,PR
81,18-25,Técnico em Enfermagem,Feira de Santana,BA
82,46-60,Estudante,Niterói,RJ
83,36-45,Professor,Rio de Janeiro,RJ
84,18-25,Estudante,Porto Alegre,RS
85,36-45,Engenheiro,Feira de Santana,BA
86,18-25,Técnico em Enfermagem,Belo Horizonte,MG
87,26-35,Contador,São Paulo,SP
88,60+,Auxiliar Administrativo,Campinas,SP
89,60+,Analista de Sistemas,Uberlândia,MG
90,18-25,Administrador,Belo Horizonte,MG
91,60+,Enfermeiro,Uberlândia,MG
92,60+,Auxiliar Administrativo,São Paulo,SP
93,60+,Programador,Caxias do Sul,RS
94,36-45,Enfermeiro,Belo Horizonte,MG
95,26-35,Analista de Sistemas,Uberlândia,MG
96,36-45,Engenheiro,Curitiba,PR
97,36-45,Professor,Londrina,PR
98,36-45,Enfermeiro,Belo Horizonte,MG
99,36-45,Vendedor,Niterói,RJ
100,46-60,Administrador,Belo Horizonte,MG
101,60+,Vendedor,Caxias do Sul,RS
102,60+,Técnico em Enfermagem,Niterói,RJ
103,26-35,Contador,Feira de Santana,BA
104,18-25,Técnico em Enfermagem,Niterói,RJ
105,46-60,Analista de Sistemas,Londrina,PR
106,36-45,Administrador,Feira de Santana,BA
107,60+,Administrador,Campinas,SP
108,18-25,Analista de Sistemas,Uberlândia,MG
109,60+,Técnico em Enfermagem,Campinas,SP
110,18-25,Vendedor,Belo Horizonte,MG
111,60+,Técnico em Enfermagem,Feira de Santana,BA
112,26-35,Auxiliar Administrativo,Porto Alegre,RS
113,26-35,Estudante,Niterói,RJ
114,18-25,Analista de Sistemas,Salvador,BA
115,18-25,Técnico em Enfermagem,Londrina,PR
116,18-25,Analista de Sistemas,Uberlândia,MG
117,60+,Analista de Sistemas,Rio de Janeiro,RJ
118,46-60,Enfermeiro,São Paulo,SP
119,26-35,Analista de Sistemas,Porto Alegre,RS
120,18-25,Técnico em Enfermagem,Feira de Santana,BA
121,18-25,Estudante,Londrina,PR
122,46-60,Vendedor,Londrina,PR
123,60+,Enfermeiro,Salvador,BA
124,60+,Engenheiro,Curitiba,PR
125,46-60,Engenheiro,Salvador,BA
126,36-45,Vendedor,Curitiba,PR
127,60+,Analista de Sistemas,Niterói,RJ
128,60+,Administrador,Porto Alegre,RS
129,46-60,Programador,Curitiba,PR
130,60+,Engenheiro,Porto Alegre,RS
131,18-25,Analista de Sistemas,Belo Horizonte,MG
132,26-35,Analista de Sistemas,Feira de Santana,BA
133,46-60,Estudante,Londrina,PR
134,36-45,Estudante,Belo Horizonte,MG
135,36-45,Analista de Sistemas,Caxias do Sul,RS
136,46-60,Administrador,Curitiba,PR
137,18-25,Administrador,Niterói,RJ
138,26-35,Administrador,Campinas,SP
139,36-45,Enfermeiro,Rio de Janeiro,RJ
140,36-45,Estudante,Belo Horizonte,MG
141,60+,Engenheiro,Curitiba,PR
142,60+,Analista de Sistemas,Campinas,SP
143,26-35,Analista de Sistemas,Niterói,RJ
144,60+,Programador,São Paulo,SP
145,18-25,Técnico em Enfermagem,Niterói,RJ
146,18-25,Vendedor,Londrina,PR
147,60+,Contador,Curitiba,PR
148,36-45,Administrador,Curitiba,PR
149,36-45,Analista de Sistemas,Uberlândia,MG
150,46-60,Técnico em Enfermagem,Londrina,PR
151,36-45,Vendedor,Porto Alegre,RS
152,26-35,Administrador,Salvador,BA
153,18-25,Estudante,Rio de Janeiro,RJ
154,46-60,Contador,Uberlândia,MG
155,60+,Engenheiro,Campinas,SP
156,18-25,Estudante,Londrina,PR
157,60+,Programador,Londrina,PR
158,36-45,Engenheiro,Salvador,BA
159,60+,Enfermeiro,Curitiba,PR
160,46-60,Administrador,São Paulo,SP
161,60+,Administrador,Curitiba,PR
162,26-35,Técnico em Enfermagem,Campinas,SP
163,46-60,Programador,Campinas,SP
164,36-45,Analista de Sistemas,Campinas,SP
165,46-60,Administrador,Rio de Janeiro,RJ
166,18-25,Professor,Belo Horizonte,MG
167,18-25,Técnico em Enfermagem,Belo Horizonte,MG
168,60+,Vendedor,Salvador,BA
169,60+,Vendedor,Porto Alegre,RS
170,46-60,Vendedor,Curitiba,PR
171,18-25,Vendedor,Uberlândia,MG
172,60+,Administrador,Belo Horizonte,MG
173,36-45,Analista de Sistemas,Belo Horizonte,MG
174,46-60,Programador,Londrina,PR
175,60+,Enfermeiro,Belo Horizonte,MG
176,46-60,Auxiliar Administrativo,Rio de Janeiro,RJ
177,26-35,Enfermeiro,Campinas,SP
178,46-60,Contador,São Paulo,SP
179,46-60,Contador,Caxias do Sul,RS
180,60+,Técnico em Enfermagem,Londrina,PR
181,36-45,Professor,Curitiba,PR
182,36-45,Estudante,Rio de Janeiro,RJ
183,60+,Vendedor,Londrina,PR
184,26-35,Analista de Sistemas,Curitiba,PR
185,26-35,Contador,Niterói,RJ
186,46-60,Analista de Sistemas,Niterói,RJ
187,60+,Estudante,Salvador,BA
188,26-35,Programador,Rio de Janeiro,RJ
189,36-45,Administrador,Caxias do Sul,RS
190,36-45,Vendedor,Campinas,SP
191,46-60,Contador,Londrina,PR
192,60+,Auxiliar Administrativo,Londrina,PR
193,36-45,Auxiliar Administrativo,Porto Alegre,RS
194,60+,Estudante,Uberlândia,MG
195,26-35,Auxiliar Administrativo,Niterói,RJ
196,36-45,Contador,Niterói,RJ
197,36-45,Auxiliar Administrativo,Porto Alegre,RS
198,18-25,Analista de Sistemas,Campinas,SP
199,46-60,Administrador,São Paulo,SP
200,46-60,Estudante,Salvador,BA
201,60+,Analista de Sistemas,Campinas,SP
202,18-25,Enfermeiro,Belo Horizonte,MG
203,26-35,Contador,Niterói,RJ
204,36-45,Professor,Belo Horizonte,MG
205,18-25,Administrador,Londrina,PR
206,60+,Estudante,Niterói,RJ
207,18-25,Contador,Salvador,BA
208,26-35,Estudante,Niterói,RJ
209,18-25,Contador,Campinas,SP
210,60+,Analista de Sistemas,Niterói,RJ
211,36-45,Enfermeiro,São Paulo,SP
212,46-60,Enfermeiro,Niterói,RJ
213,60+,Estudante,Londrina,PR
214,26-35,Técnico em Enfermagem,Uberlândia,MG
215,46-60,Engenheiro,Salvador,BA
216,18-25,Programador,Caxias do Sul,RS
217,60+,Professor,Curitiba,PR
218,36-45,Administrador,Curitiba,PR
219,46-60,Engenheiro,Salvador,BA
220,60+,Analista de Sistemas,Uberlândia,MG
221,18-25,Técnico em Enfermagem,Rio de Janeiro,RJ
222,26-35,Estudante,São Paulo,SP
223,26-35,Técnico em Enfermagem,Niterói,RJ
224,60+,Contador,Rio de Janeiro,RJ
225,60+,Auxiliar Administrativo,Curitiba,PR
226,26-35,Auxiliar Administrativo,Londrina,PR
227,36-45,Técnico em Enfermagem,Campinas,SP
228,60+,Estudante,Campinas,SP
229,60+,Técnico em Enfermagem,Feira de Santana,BA
230,46-60,Engenheiro,Porto Alegre,RS
231,46-60,Estudante,Campinas,SP
232,46-60,Programador,Feira de Santana,BA
233,18-25,Auxiliar Administrativo,São Paulo,SP
234,26-35,Estudante,Rio de Janeiro,RJ
235,26-35,Auxiliar Administrativo,Curitiba,PR
236,46-60,Contador,Curitiba,PR
237,36-45,Administrador,Salvador,BA
238,46-60,Contador,Salvador,BA
239,46-60,Contador,Rio de Janeiro,RJ
240,36-45,Professor,Campinas,SP
241,46-60,Contador,Belo Horizonte,MG
242,46-60,Analista de Sistemas,Caxias do Sul,RS
243,36-45,Contador,Niterói,RJ
244,36-45,Contador,Niterói,RJ
245,26-35,Engenheiro,Salvador,BA
246,36-45,Enfermeiro,Porto Alegre,RS
247,60+,Programador,Campinas,SP
248,18-25,Programador,Londrina,PR
249,18-25,Programador,Porto Alegre,RS
250,46-60,Auxiliar Administrativo,Niterói,RJ
251,36-45,Vendedor,Campinas,SP
252,18-25,Vendedor,São Paulo,SP
253,36-45,Auxiliar Administrativo,Londrina,PR
254,18-25,Estudante,Belo Horizonte,MG
255,46-60,Programador,Feira de Santana,BA
256,26-35,Administrador,Londrina,PR
257,18-25,Auxiliar Administrativo,Salvador,BA
258,36-45,Professor,Belo Horizonte,MG
259,60+,Analista de Sistemas,Feira de Santana,BA
260,26-35,Engenheiro,Caxias do Sul,RS
261,60+,Contador,Curitiba,PR
262,46-60,Analista de Sistemas,Caxias do Sul,RS
263,26-35,Engenheiro,Curitiba,PR
264,26-35,Auxiliar Administrativo,Uberlândia,MG
265,60+,Administrador,Niterói,RJ
266,26-35,Programador,Feira de Santana,BA
267,18-25,Enfermeiro,Feira de Santana,BA
268,26-35,Administrador,São Paulo,SP
269,60+,Engenheiro,Belo Horizonte,MG
270,60+,Estudante,Niterói,RJ
271,60+,Técnico em Enfermagem,Campinas,SP
272,18-25,Enfermeiro,Caxias do Sul,RS
273,26-35,Professor,Londrina,PR
274,18-25,Administrador,Campinas,SP
275,46-60,Analista de Sistemas,Campinas,SP
276,46-60,Administrador,Belo Horizonte,MG
277,60+,Estudante,Niterói,RJ
278,46-60,Enfermeiro,Caxias do Sul,RS
279,36-45,Engenheiro,Belo Horizonte,MG
280,26-35,Enfermeiro,Londrina,PR
281,60+,Auxiliar Administrativo,Porto Alegre,RS
282,18-25,Auxiliar Administrativo,Uberlândia,MG
283,26-35,Estudante,Belo Horizonte,MG
284,18-25,Professor,Niterói,RJ
285,36-45,Técnico em Enfermagem,Niterói,RJ
286,60+,Estudante,Caxias do Sul,RS
287,36-45,Analista de Sistemas,Niterói,RJ
288,46-60,Administrador,Rio de Janeiro,RJ
289,36-45,Enfermeiro,Feira de Santana,BA
290,36-45,Engenheiro,Uberlândia,MG
291,26-35,Enfermeiro,Niterói,RJ
292,26-35,Estudante,Londrina,PR
293,26-35,Estudante,Porto Alegre,RS
294,36-45,Programador,Uberlândia,MG
295,18-25,Contador,São Paulo,SP
296,36-45,Vendedor,Feira de Santana,BA
297,46-60,Técnico em Enfermagem,Londrina,PR
298,18-25,Vendedor,Caxias do Sul,RS
299,26-35,Professor,Caxias do Sul,RS
300,46-60,Professor,São Paulo,SP
301,60+,Professor,Campinas,SP
302,36-45,Analista de Sistemas,Londrina,PR
303,18-25,Administrador,Londrina,PR
304,36-45,Programador,Curitiba,PR
305,26-35,Contador,Niterói,RJ
306,60+,Vendedor,Feira de Santana,BA
307,26-35,Analista de Sistemas,Porto Alegre,RS
308,60+,Técnico em Enfermagem,Niterói,RJ
309,60+,Analista de Sistemas,Salvador,BA
310,60+,Administrador,Uberlândia,MG
311,18-25,Estudante,Caxias do Sul,RS
312,60+,Contador,Campinas,SP
313,26-35,Engenheiro,Porto Alegre,RS
314,18-25,Administrador,Belo Horizonte,MG
315,46-60,Vendedor,Belo Horizonte,MG
316,18-25,Estudante,Londrina,PR
317,60+,Vendedor,Caxias do Sul,RS
318,60+,Administrador,Londrina,PR
319,26-35,Professor,Uberlândia,MG
320,60+,Contador,Feira de Santana,BA
321,46-60,Auxiliar Administrativo,Caxias do Sul,RS
322,60+,Administrador,Niterói,RJ
323,60+,Enfermeiro,Caxias do Sul,RS
324,46-60,Vendedor,Porto Alegre,RS
325,18-25,Professor,Caxias do Sul,RS
326,60+,Auxiliar Administrativo,Niterói,RJ
327,26-35,Vendedor,Belo Horizonte,MG
328,60+,Contador,Caxias do Sul,RS
329,18-25,Administrador,Porto Alegre,RS
330,36-45,Auxiliar Administrativo,Caxias do Sul,RS
331,60+,Programador,Campinas,SP
332,18-25,Programador,Feira de Santana,BA
333,18-25,Auxiliar Administrativo,Curitiba,PR
334,18-25,Auxiliar Administrativo,Uberlândia,MG
335,60+,Vendedor,Niterói,RJ
336,60+,Auxiliar Administrativo,Londrina,PR
337,60+,Vendedor,Feira de Santana,BA
338,26-35,Programador,Campinas,SP
339,46-60,Enfermeiro,São Paulo,SP
340,60+,Engenheiro,Rio de Janeiro,RJ
341,26-35,Enfermeiro,Salvador,BA
342,46-60,Engenheiro,Rio de Janeiro,RJ
343,18-25,Analista de Sistemas,São Paulo,SP
344,26-35,Estudante,Caxias do Sul,RS
345,26-35,Auxiliar Administrativo,Campinas,SP
346,46-60,Programador,Belo Horizonte,MG
347,26-35,Enfermeiro,Porto Alegre,RS
348,60+,Programador,Feira de Santana,BA
349,26-35,Professor,Salvador,BA
350,26-35,Engenheiro,Belo Horizonte,MG
351,46-60,Professor,Niterói,RJ
352,26-35,Estudante,São Paulo,SP
353,46-60,Estudante,Uberlândia,MG
354,46-60,Enfermeiro,Niterói,RJ
355,26-35,Auxiliar Administrativo,Porto Alegre,RS
356,46-60,Estudante,Caxias do Sul,RS
357,46-60,Auxiliar Administrativo,Belo Horizonte,MG
358,36-45,Engenheiro,Feira de Santana,BA
359,46-60,Vendedor,Porto Alegre,RS
360,26-35,Auxiliar Administrativo,Rio de Janeiro,RJ
361,18-25,Engenheiro,Rio de Janeiro,RJ
362,36-45,Estudante,Uberlândia,MG
363,26-35,Auxiliar Administrativo,São Paulo,SP
364,46-60,Analista de Sistemas,Curitiba,PR
365,26-35,Estudante,Rio de Janeiro,RJ
366,60+,Estudante,Uberlândia,MG
367,46-60,Administrador,Curitiba,PR
368,18-25,Auxiliar Administrativo,Campinas,SP
369,18-25,Engenheiro,São Paulo,SP
370,18-25,Engenheiro,Salvador,BA
371,60+,Professor,São Paulo,SP
372,60+,Estudante,Rio de Janeiro,RJ
373,36-45,Estudante,Salvador,BA
374,60+,Estudante,Campinas,SP
375,60+,Vendedor,São Paulo,SP
376,60+,Analista de Sistemas,Campinas,SP
377,60+,Vendedor,Feira de Santana,BA
378,36-45,Analista de Sistemas,Caxias do Sul,RS
379,46-60,Programador,Londrina,PR
380,60+,Programador,Uberlândia,MG
381,26-35,Estudante,Belo Horizonte,MG
382,46-60,Contador,Belo Horizonte,MG
383,60+,Estudante,Curitiba,PR
384,60+,Auxiliar Administrativo,Curitiba,PR
385,36-45,Enfermeiro,Salvador,BA
386,46-60,Técnico em Enfermagem,Feira de Santana,BA
387,60+,Professor,Belo Horizonte,MG
388,18-25,Estudante,Feira de Santana,BA
389,36-45,Contador,Caxias do Sul,RS
390,26-35,Vendedor,Uberlândia,MG
391,46-60,Engenheiro,São Paulo,SP
392,18-25,Engenheiro,Caxias do Sul,RS
393,36-45,Estudante,São Paulo,SP
394,46-60,Analista de Sistemas,Campinas,SP
395,60+,Enfermeiro,Uberlândia,MG
396,36-45,Estudante,Curitiba,PR
397,26-35,Administrador,Rio de Janeiro,RJ
398,18-25,Auxiliar Administrativo,Rio de Janeiro,RJ
399,60+,Contador,Rio de Janeiro,RJ
400,36-45,Estudante,Londrina,PR
401,18-25,Administrador,Feira de Santana,BA
402,60+,Administrador,Campinas,SP
403,60+,Vendedor,Feira de Santana,BA
404,18-25,Auxiliar Administrativo,Curitiba,PR
405,60+,Enfermeiro,Curitiba,PR
406,18-25,Engenheiro,Feira de Santana,BA
407,46-60,Programador,Rio de Janeiro,RJ
408,18-25,Estudante,Salvador,BA
409,18-25,Auxiliar Administrativo,Rio de Janeiro,RJ
410,60+,Engenheiro,Caxias do Sul,RS
411,26-35,Vendedor,Londrina,PR
412,36-45,Analista de Sistemas,Curitiba,PR
413,18-25,Engenheiro,Niterói,RJ
414,18-25,Vendedor,Londrina,PR
415,46-60,Engenheiro,Porto Alegre,RS
416,46-60,Analista de Sistemas,Uberlândia,MG
417,26-35,Administrador,Londrina,PR
418,60+,Auxiliar Administrativo,Feira de Santana,BA
419,26-35,Técnico em Enfermagem,Campinas,SP
420,60+,Administrador,Belo Horizonte,MG
421,46-60,Administrador,Campinas,SP
422,26-35,Vendedor,Salvador,BA
423,26-35,Técnico em Enfermagem,Niterói,RJ
424,18-25,Técnico em Enfermagem,Feira de Santana,BA
425,36-45,Professor,Salvador,BA
426,26-35,Programador,Campinas,SP
427,60+,Contador,Curitiba,PR
428,60+,Vendedor,Rio de Janeiro,RJ
429,18-25,Contador,Rio de Janeiro,RJ
430,60+,Enfermeiro,São Paulo,SP
431,18-25,Analista de Sistemas,São Paulo,SP
432,36-45,Analista de Sistemas,Salvador,BA
433,36-45,Contador,Porto Alegre,RS
434,46-60,Vendedor,Rio de Janeiro,RJ
435,26-35,Contador,Curitiba,PR
436,18-25,Enfermeiro,Belo Horizonte,MG
437,26-35,Programador,São Paulo,SP
438,60+,Enfermeiro,Feira de Santana,BA
439,60+,Professor,Salvador,BA
440,36-45,Técnico em Enfermagem,Feira de Santana,BA
441,18-25,Técnico em Enfermagem,Londrina,PR
442,26-35,Estudante,Uberlândia,MG
443,36-45,Programador,Curitiba,PR
444,36-45,Engenheiro,Uberlândia,MG
445,26-35,Engenheiro,Niterói,RJ
446,36-45,Analista de Sistemas,Salvador,BA
447,26-35,Analista de Sistemas,Salvador,BA
448,60+,Auxiliar Administrativo,Uberlândia,MG
449,18-25,Professor,Uberlândia,MG
450,60+,Administrador,Campinas,SP
451,18-25,Engenheiro,Uberlândia,MG
452,18-25,Vendedor,Belo Horizonte,MG
453,36-45,Estudante,Uberlândia,MG
454,26-35,Professor,Porto Alegre,RS
455,46-60,Enfermeiro,Salvador,BA
456,26-35,Engenheiro,Niterói,RJ
457,36-45,Analista de Sistemas,Belo Horizonte,MG
458,46-60,Auxiliar Administrativo,Uberlândia,MG
459,26-35,Engenheiro,São Paulo,SP
460,18-25,Estudante,Curitiba,PR
461,60+,Engenheiro,Niterói,RJ
462,36-45,Engenheiro,Rio de Janeiro,RJ
463,18-25,Administrador,Caxias do Sul,RS
464,46-60,Técnico em Enfermagem,Belo Horizonte,MG
465,46-60,Estudante,Salvador,BA
466,46-60,Técnico em Enfermagem,Salvador,BA
467,46-60,Analista de Sistemas,Niterói,RJ
468,36-45,Vendedor,Curitiba,PR
469,18-25,Técnico em Enfermagem,São Paulo,SP
470,46-60,Auxiliar Administrativo,Campinas,SP
471,60+,Contador,Porto Alegre,RS
472,18-25,Administrador,Uberlândia,MG
473,18-25,Engenheiro,Salvador,BA
474,46-60,Auxiliar Administrativo,Niterói,RJ
475,60+,Vendedor,Porto Alegre,RS
476,18-25,Auxiliar Administrativo,Curitiba,PR
477,26-35,Analista de Sistemas,Feira de Santana,BA
478,36-45,Estudante,São Paulo,SP
479,60+,Enfermeiro,Belo Horizonte,MG
480,26-35,Programador,Salvador,BA
481,46-60,Técnico em Enfermagem,Uberlândia,MG
482,36-45,Estudante,Porto Alegre,RS
483,36-45,Enfermeiro,São Paulo,SP
484,18-25,Contador,Curitiba,PR
485,18-25,Estudante,Curitiba,PR
486,36-45,Engenheiro,Salvador,BA
487,26-35,Técnico em Enfermagem,Curitiba,PR
488,18-25,Engenheiro,Londrina,PR
489,60+,Engenheiro,Londrina,PR
490,46-60,Estudante,Londrina,PR
491,60+,Professor,Niterói,RJ
492,26-35,Contador,São Paulo,SP
493,36-45,Contador,Feira de Santana,BA
494,18-25,Engenheiro,Feira de Santana,BA
495,18-25,Professor,Porto Alegre,RS
496,18-25,Técnico em Enfermagem,Campinas,SP
497,36-45,Contador,Rio de Janeiro,RJ
498,36-45,Programador,Caxias do Sul,RS
499,36-45,Programador,Rio de Janeiro,RJ
500,60+,Vendedor,Feira de Santana,BA
501,26-35,Estudante,Belo Horizonte,MG
502,36-45,Professor,Uberlândia,MG
