id,faixa_etaria,profissao,cidade,estado
503,26-35,Engenheiro,Salvador,BA
504,46-60,Programador,Uberlândia,MG
505,60+,Enfermeiro,Porto Alegre,RS
506,26-35,Enfermeiro,Feira de Santana,BA
507,60+,Auxiliar Administrativo,Campinas,SP
508,36-45,Administrador,Salvador,BA
509,46-60,Estudante,Belo Horizonte,MG
510,46-60,Enfermeiro,Rio de Janeiro,RJ
511,46-60,Vendedor,Rio de Janeiro,RJ
512,36-45,Vendedor,Rio de Janeiro,RJ
513,36-45,Auxiliar Administrativo,Curitiba,PR
514,18-25,Analista de Sistemas,Niterói,RJ
515,60+,Engenheiro,Uberlândia,MG
516,18-25,Estudante,Curitiba,PR
517,46-60,Técnico em Enfermagem,Uberlândia,MG
518,18-25,Contador,Rio de Janeiro,RJ
519,60+,Técnico em Enfermagem,Campinas,SP
520,60+,Engenheiro,Salvador,BA
521,26-35,Técnico em Enfermagem,Salvador,BA
522,60+,Vendedor,Feira de Santana,BA
523,60+,Estudante,Feira de Santana,BA
524,36-45,Técnico em Enfermagem,Belo Horizonte,MG
525,46-60,Estudante,Rio de Janeiro,RJ
526,60+,Programador,Campinas,SP
527,46-60,Enfermeiro,Porto Alegre,RS
528,36-45,Professor,Salvador,BA
529,26-35,Auxiliar Administrativo,Salvador,BA
530,36-45,Analista de Sistemas,Niterói,RJ
531,46-60,Administrador,Feira de Santana,BA
532,46-60,Enfermeiro,Salvador,BA
533,18-25,Administrador,Feira de Santana,BA
534,26-35,Estudante,Caxias do Sul,RS
535,26-35,Professor,Londrina,PR
536,60+,Administrador,Niterói,RJ
537,26-35,Contador,Niterói,RJ
538,26-35,Professor,Curitiba,PR
539,36-45,Auxiliar Administrativo,São Paulo,SP
540,36-45,Técnico em Enfermagem,Londrina,PR
541,26-35,Programador,Salvador,BA
542,60+,Vendedor,Salvador,BA
543,46-60,Enfermeiro,Uberlândia,MG
544,18-25,Professor,Rio de Janeiro,RJ
545,60+,Professor,Salvador,BA
546,60+,Contador,Porto Alegre,RS
547,26-35,Administrador,Salvador,BA
548,26-35,Contador,Caxias do Sul,RS
549,18-25,Técnico em Enfermagem,Londrina,PR
550,60+,Analista de Sistemas,São Paulo,SP
551,18-25,Administrador,Curitiba,PR
552,60+,Administrador,Rio de Janeiro,RJ
553,46-60,Programador,Rio de Janeiro,RJ
554,18-25,Enfermeiro,Uberlândia,MG
555,60+,Programador,Rio de Janeiro,RJ
556,18-25,Professor,Rio de Janeiro,RJ
557,36-45,Programador,Salvador,BA
558,36-45,Contador,Londrina,PR
559,26-35,Administrador,Caxias do Sul,RS
560,36-45,Contador,Londrina,PR
561,18-25,Analista de Sistemas,Feira de Santana,BA
562,26-35,Analista de Sistemas,Londrina,PR
563,26-35,Engenheiro,Salvador,BA
564,26-35,Enfermeiro,Campinas,SP
565,18-25,Administrador,Rio de Janeiro,RJ
566,36-45,Contador,Caxias do Sul,RS
567,36-45,Professor,Caxias do Sul,RS
568,60+,Enfermeiro,Salvador,BA
569,18-25,Vendedor,Caxias do Sul,RS
570,46-60,Técnico em Enfermagem,Rio de Janeiro,RJ
571,18-25,Professor,Porto Alegre,RS
572,46-60,Engenheiro,Curitiba,PR
573,46-60,Enfermeiro,Campinas,SP
574,26-35,Programador,São Paulo,SP
575,36-45,Administrador,Belo Horizonte,MG
576,36-45,Vendedor,São Paulo,SP
577,26-35,Auxiliar Administrativo,Curitiba,PR
578,46-60,Vendedor,Londrina,PR
579,60+,Engenheiro,Niterói,RJ
580,18-25,Enfermeiro,Curitiba,PR
581,60+,Técnico em Enfermagem,Feira de Santana,BA
582,18-25,Administrador,Uberlândia,MG
583,36-45,Enfermeiro,Porto Alegre,RS
584,36-45,Programador,Feira de Santana,BA
585,18-25,Engenheiro,São Paulo,SP
586,26-35,Vendedor,Feira de Santana,BA
587,26-35,Técnico em Enfermagem,Feira de Santana,BA
588,26-35,Programador,São Paulo,SP
589,60+,Enfermeiro,Londrina,PR
590,46-60,Contador,Feira de Santana,BA
591,60+,Programador,São Paulo,SP
592,46-60,Engenheiro,São Paulo,SP
593,60+,Contador,Campinas,SP
594,18-25,Programador,Rio de Janeiro,RJ
595,60+,Contador,Caxias do Sul,RS
596,26-35,Administrador,Belo Horizonte,MG
597,18-25,Estudante,Uberlândia,MG
598,18-25,Enfermeiro,São Paulo,SP
599,36-45,Técnico em Enfermagem,São Paulo,SP
600,18-25,Engenheiro,Belo Horizonte,MG
601,60+,Contador,Salvador,BA
602,18-25,Estudante,Caxias do Sul,RS
603,26-35,Vendedor,Feira de Santana,BA
604,18-25,Engenheiro,Rio de Janeiro,RJ
605,26-35,Administrador,Porto Alegre,RS
606,36-45,Técnico em Enfermagem,Salvador,BA
607,18-25,Estudante,Curitiba,PR
608,60+,Enfermeiro,Rio de Janeiro,RJ
609,46-60,Auxiliar Administrativo,Porto Alegre,RS
610,46-60,Programador,Porto Alegre,RS
611,46-60,Engenheiro,Uberlândia,MG
612,46-60,Programador,Uberlândia,MG
613,60+,Vendedor,Salvador,BA
614,46-60,Engenheiro,Feira de Santana,BA
615,18-25,Vendedor,Belo Horizonte,MG
616,18-25,Enfermeiro,Salvador,BA
617,46-60,Técnico em Enfermagem,Feira de Santana,BA
618,18-25,Contador,Curitiba,PR
619,26-35,Enfermeiro,Curitiba,PR
620,36-45,Administrador,Curitiba,PR
621,60+,Professor,Uberlândia,MG
622,18-25,Professor,Feira de Santana,BA
623,46-60,Vendedor,Caxias do Sul,RS
624,60+,Vendedor,Feira de Santana,BA
625,36-45,Enfermeiro,Caxias do Sul,RS
626,18-25,Administrador,Campinas,SP
627,18-25,Enfermeiro,Niterói,RJ
628,26-35,Programador,Caxias do Sul,RS
629,18-25,Auxiliar Administrativo,Belo Horizonte,MG
630,46-60,Contador,Porto Alegre,RS
631,60+,Programador,Londrina,PR
632,36-45,Engenheiro,Salvador,BA
633,36-45,Vendedor,Belo Horizonte,MG
634,26-35,Analista de Sistemas,Belo Horizonte,MG
635,26-35,Contador,Caxias do Sul,RS
636,26-35,Administrador,Porto Alegre,RS
637,36-45,Professor,Caxias do Sul,RS
638,18-25,Contador,São Paulo,SP
639,18-25,Administrador,Porto Alegre,RS
640,36-45,Contador,Uberlândia,MG
641,46-60,Vendedor,São Paulo,SP
642,36-45,Analista de Sistemas,Uberlândia,MG
643,18-25,Auxiliar Administrativo,Caxias do Sul,RS
644,18-25,Administrador,Belo Horizonte,MG
645,36-45,Analista de Sistemas,Salvador,BA
646,46-60,Auxiliar Administrativo,Niterói,RJ
647,26-35,Administrador,Belo Horizonte,MG
648,18-25,Professor,Feira de Santana,BA
649,36-45,Enfermeiro,Uberlândia,MG
650,36-45,Programador,Feira de Santana,BA
651,26-35,Administrador,Feira de Santana,BA
652,46-60,Contador,Niterói,RJ
653,36-45,Estudante,Caxias do Sul,RS
654,60+,Enfermeiro,Uberlândia,MG
655,18-25,Auxiliar Administrativo,Campinas,SP
656,36-45,Vendedor,Salvador,BA
657,60+,Engenheiro,Rio de Janeiro,RJ
658,60+,Enfermeiro,Niterói,RJ
659,46-60,Professor,Londrina,PR
660,26-35,Técnico em Enfermagem,Campinas,SP
661,26-35,Professor,Campinas,SP
662,36-45,Engenheiro,Londrina,PR
663,36-45,Vendedor,Porto Alegre,RS
664,46-60,Administrador,Feira de Santana,BA
665,46-60,Vendedor,Niterói,RJ
666,46-60,Técnico em Enfermagem,Salvador,BA
667,26-35,Contador,Belo Horizonte,MG
668,26-35,Auxiliar Administrativo,Curitiba,PR
669,26-35,Vendedor,Curitiba,PR
670,18-25,Auxiliar Administrativo,Rio de Janeiro,RJ
671,26-35,Enfermeiro,Campinas,SP
672,60+,Programador,Campinas,SP
673,18-25,Administrador,Niterói,RJ
674,60+,Contador,Londrina,PR
675,60+,Vendedor,Londrina,PR
676,46-60,Contador,Belo Horizonte,MG
677,60+,Administrador,Salvador,BA
678,60+,Administrador,São Paulo,SP
679,46-60,Programador,Curitiba,PR
680,18-25,Vendedor,Campinas,SP
681,18-25,Estudante,Uberlândia,MG
682,26-35,Estudante,Feira de Santana,BA
683,36-45,Analista de Sistemas,Niterói,RJ
684,46-60,Vendedor,Feira de Santana,BA
685,26-35,Auxiliar Administrativo,Campinas,SP
686,18-25,Auxiliar Administrativo,Curitiba,PR
687,60+,Auxiliar Administrativo,Caxias do Sul,RS
688,46-60,Professor,Caxias do Sul,RS
689,26-35,Programador,Londrina,PR
690,60+,Programador,Salvador,BA
691,26-35,Auxiliar Administrativo,Curitiba,PR
692,26-35,Administrador,Uberlândia,MG
693,26-35,Contador,Rio de Janeiro,RJ
694,18-25,Programador,Uberlândia,MG
695,18-25,Vendedor,Londrina,PR
696,26-35,Programador,Curitiba,PR
697,18-25,Auxiliar Administrativo,Uberlândia,MG
698,60+,Analista de Sistemas,Caxias do Sul,RS
699,18-25,Contador,Uberlândia,MG
700,46-60,Engenheiro,Curitiba,PR
701,18-25,Vendedor,Caxias do Sul,RS
702,46-60,Professor,Uberlândia,MG
703,36-45,Analista de Sistemas,Niterói,RJ
704,26-35,Estudante,Belo Horizonte,MG
705,60+,Técnico em Enfermagem,Porto Alegre,RS
706,36-45,Administrador,Uberlândia,MG
707,18-25,Professor,Feira de Santana,BA
708,36-45,Estudante,Porto Alegre,RS
709,46-60,Professor,Salvador,BA
710,26-35,Enfermeiro,Caxias do Sul,RS
711,18-25,Professor,Feira de Santana,BA
712,60+,Programador,Rio de Janeiro,RJ
713,60+,Enfermeiro,Campinas,SP
714,36-45,Vendedor,Rio de Janeiro,RJ
715,36-45,Programador,Curitiba,PR
716,60+,Enfermeiro,Rio de Janeiro,RJ
717,18-25,Analista de Sistemas,Rio de Janeiro,RJ
718,18-25,Técnico em Enfermagem,Salvador,BA
719,18-25,Técnico em Enfermagem,Rio de Janeiro,RJ
720,18-25,Professor,Salvador,BA
721,46-60,Engenheiro,Feira de Santana,BA
722,60+,Enfermeiro,Uberlândia,MG
723,26-35,Analista de Sistemas,Curitiba,PR
724,18-25,Administrador,Salvador,BA
725,36-45,Enfermeiro,Uberlândia,MG
726,46-60,Estudante,São Paulo,SP
727,46-60,Estudante,Londrina,PR
728,36-45,Analista de Sistemas,Niterói,RJ
729,18-25,Administrador,Londrina,PR
730,18-25,Técnico em Enfermagem,Uberlândia,MG
731,26-35,Enfermeiro,Porto Alegre,RS
732,46-60,Auxiliar Administrativo,Uberlândia,MG
733,18-25,Engenheiro,Porto Alegre,RS
734,60+,Engenheiro,Feira de Santana,BA
735,18-25,Vendedor,Salvador,BA
736,60+,Contador,Belo Horizonte,MG
737,46-60,Administrador,Niterói,RJ
738,46-60,Programador,Salvador,BA
739,46-60,Estudante,São Paulo,SP
740,36-45,Contador,Uberlândia,MG
741,60+,Contador,Rio de Janeiro,RJ
742,26-35,Vendedor,Londrina,PR
743,36-45,Vendedor,Porto Alegre,RS
744,36-45,Contador,Feira de Santana,BA
745,18-25,Contador,Belo Horizonte,MG
746,46-60,Estudante,Niterói,RJ
747,36-45,Técnico em Enfermagem,Rio de Janeiro,RJ
748,36-45,Auxiliar Administrativo,Feira de Santana,BA
749,36-45,Auxiliar Administrativo,Porto Alegre,RS
750,18-25,Técnico em Enfermagem,Salvador,BA
751,36-45,Professor,Feira de Santana,BA
752,60+,Contador,Curitiba,PR
753,26-35,Programador,Londrina,PR
754,46-60,Programador,Caxias do Sul,RS
755,46-60,Técnico em Enfermagem,Campinas,SP
756,18-25,Engenheiro,São Paulo,SP
757,46-60,Engenheiro,Londrina,PR
758,36-45,Professor,Uberlândia,MG
759,26-35,Vendedor,Londrina,PR
760,36-45,Professor,Salvador,BA
761,26-35,Enfermeiro,Niterói,RJ
762,26-35,Administrador,Porto Alegre,RS
763,18-25,Estudante,Feira de Santana,BA
764,46-60,Estudante,São Paulo,SP
765,46-60,Professor,Londrina,PR
766,46-60,Administrador,São Paulo,SP
767,60+,Auxiliar Administrativo,São Paulo,SP
768,26-35,Técnico em Enfermagem,Curitiba,PR
769,60+,Vendedor,Feira de Santana,BA
770,36-45,Auxiliar Administrativo,Caxias do Sul,RS
771,18-25,Analista de Sistemas,Feira de Santana,BA
772,60+,Programador,Belo Horizonte,MG
773,60+,Auxiliar Administrativo,Niterói,RJ
774,26-35,Administrador,Salvador,BA
775,36-45,Estudante,Caxias do Sul,RS
776,60+,Analista de Sistemas,Niterói,RJ
777,36-45,Técnico em Enfermagem,Campinas,SP
778,26-35,Professor,Campinas,SP
779,26-35,Analista de Sistemas,Salvador,BA
780,60+,Auxiliar Administrativo,Uberlândia,MG
781,18-25,Estudante,Caxias do Sul,RS
782,46-60,Professor,Campinas,SP
783,60+,Programador,Londrina,PR
784,60+,Vendedor,Rio de Janeiro,RJ
785,18-25,Técnico em Enfermagem,Salvador,BA
786,36-45,Administrador,Niterói,RJ
787,26-35,Professor,São Paulo,SP
788,18-25,Técnico em Enfermagem,Porto Alegre,RS
789,46-60,Professor,Londrina,PR
790,26-35,Professor,Salvador,BA
791,26-35,Enfermeiro,Campinas,SP
792,36-45,Enfermeiro,Belo Horizonte,MG
793,36-45,Vendedor,Uberlândia,MG
794,18-25,Analista de Sistemas,Rio de Janeiro,RJ
795,26-35,Administrador,Campinas,SP
796,46-60,Enfermeiro,Porto Alegre,RS
797,60+,Contador,São Paulo,SP
798,60+,Contador,Rio de Janeiro,RJ
799,36-45,Técnico em Enfermagem,Rio de Janeiro,RJ
800,36-45,Programador,São Paulo,SP
801,18-25,Administrador,Curitiba,PR
802,18-25,Administrador,Caxias do Sul,RS
803,60+,Estudante,Niterói,RJ
804,36-45,Estudante,Feira de Santana,BA
805,26-35,Enfermeiro,Salvador,BA
806,26-35,Auxiliar Administrativo,São Paulo,SP
807,18-25,Administrador,Curitiba,PR
808,18-25,Vendedor,Curitiba,PR
809,26-35,Vendedor,Belo Horizonte,MG
810,46-60,Administrador,Belo Horizonte,MG
811,60+,Contador,São Paulo,SP
812,18-25,Contador,Caxias do Sul,RS
813,46-60,Administrador,Feira de Santana,BA
814,60+,Analista de Sistemas,Porto Alegre,RS
815,60+,Técnico em Enfermagem,Campinas,SP
816,60+,Técnico em Enfermagem,Caxias do Sul,RS
817,60+,Auxiliar Administrativo,Porto Alegre,RS
818,36-45,Auxiliar Administrativo,São Paulo,SP
819,60+,Programador,Belo Horizonte,MG
820,46-60,Contador,Rio de Janeiro,RJ
821,36-45,Vendedor,São Paulo,SP
822,26-35,Vendedor,Porto Alegre,RS
823,46-60,Técnico em Enfermagem,São Paulo,SP
824,26-35,Administrador,Feira de Santana,BA
825,26-35,Auxiliar Administrativo,Porto Alegre,RS
826,46-60,Estudante,Curitiba,PR
827,60+,Engenheiro,Curitiba,PR
828,36-45,Administrador,Uberlândia,MG
829,26-35,Técnico em Enfermagem,Londrina,PR
830,18-25,Contador,São Paulo,SP
831,26-35,Auxiliar Administrativo,Belo Horizonte,MG
832,26-35,Vendedor,Feira de Santana,BA
833,60+,Estudante,Porto Alegre,RS
834,36-45,Técnico em Enfermagem,Rio de Janeiro,RJ
835,60+,Contador,São Paulo,SP
836,26-35,Contador,Salvador,BA
837,60+,Técnico em Enfermagem,Curitiba,PR
838,46-60,Engenheiro,Curitiba,PR
839,36-45,Programador,Uberlândia,MG
840,60+,Auxiliar Administrativo,Niterói,RJ
841,18-25,Enfermeiro,Feira de Santana,BA
842,26-35,Programador,Salvador,BA
843,26-35,Analista de Sistemas,Curitiba,PR
844,18-25,Contador,Campinas,SP
845,36-45,Contador,Uberlândia,MG
846,46-60,Engenheiro,Belo Horizonte,MG
847,18-25,Administrador,Porto Alegre,RS
848,26-35,Professor,Londrina,PR
849,46-60,Vendedor,Curitiba,PR
850,26-35,Analista de Sistemas,Uberlândia,MG
851,26-35,Estudante,Curitiba,PR
852,18-25,Estudante,Porto Alegre,RS
853,26-35,Analista de Sistemas,Feira de Santana,BA
854,60+,Analista de Sistemas,Londrina,PR
855,46-60,Enfermeiro,Salvador,BA
856,18-25,Vendedor,Salvador,BA
857,36-45,Analista de Sistemas,Londrina,PR
858,46-60,Vendedor,Rio de Janeiro,RJ
859,36-45,Auxiliar Administrativo,Uberlândia,MG
860,36-45,Auxiliar Administrativo,Porto Alegre,RS
861,26-35,Professor,Belo Horizonte,MG
862,18-25,Analista de Sistemas,Rio de Janeiro,RJ
863,46-60,Professor,Salvador,BA
864,60+,Enfermeiro,Londrina,PR
865,18-25,Programador,Porto Alegre,RS
866,60+,Enfermeiro,Londrina,PR
867,26-35,Contador,Feira de Santana,BA
868,26-35,Técnico em Enfermagem,Niterói,RJ
869,46-60,Professor,São Paulo,SP
870,36-45,Auxiliar Administrativo,Belo Horizonte,MG
871,26-35,Engenheiro,Caxias do Sul,RS
872,18-25,Administrador,Feira de Santana,BA
873,46-60,Administrador,Niterói,RJ
874,36-45,Engenheiro,Campinas,SP
875,26-35,Contador,Niterói,RJ
876,18-25,Analista de Sistemas,Uberlândia,MG
877,18-25,Administrador,Londrina,PR
878,36-45,Estudante,Uberlândia,MG
879,60+,Contador,Salvador,BA
880,18-25,Contador,Curitiba,PR
881,60+,Professor,Niterói,RJ
882,60+,Vendedor,Niterói,RJ
883,60+,Administrador,Curitiba,PR
884,36-45,Programador,Belo Horizonte,MG
885,26-35,Professor,Porto Alegre,RS
886,46-60,Vendedor,Uberlândia,MG
887,36-45,Analista de Sistemas,Niterói,RJ
888,46-60,Auxiliar Administrativo,Rio de Janeiro,RJ
889,18-25,Analista de Sistemas,Uberlândia,MG
890,18-25,Engenheiro,Curitiba,PR
891,18-25,Enfermeiro,Salvador,BA
892,18-25,Auxiliar Administrativo,Caxias do Sul,RS
893,26-35,Auxiliar Administrativo,Niterói,RJ
894,18-25,Enfermeiro,Belo Horizonte,MG
895,26-35,Programador,Rio de Janeiro,RJ
896,26-35,Administrador,Niterói,RJ
897,46-60,Programador,Salvador,BA
898,46-60,Estudante,Curitiba,PR
899,36-45,Vendedor,Uberlândia,MG
900,18-25,Programador,Porto Alegre,RS
901,26-35,Contador,Curitiba,PR
902,60+,Enfermeiro,Caxias do Sul,RS
903,46-60,Administrador,Salvador,BA
904,46-60,Contador,Londrina,PR
905,26-35,Analista de Sistemas,Feira de Santana,BA
906,36-45,Enfermeiro,Uberlândia,MG
907,36-45,Programador,Curitiba,PR
908,36-45,Enfermeiro,Niterói,RJ
909,26-35,Professor,Niterói,RJ
910,46-60,Auxiliar Administrativo,Niterói,RJ
911,60+,Contador,Salvador,BA
912,26-35,Programador,Salvador,BA
913,46-60,Analista de Sistemas,Caxias do Sul,RS
914,60+,Professor,Caxias do Sul,RS
915,60+,Administrador,Salvador,BA
916,26-35,Administrador,Campinas,SP
917,36-45,Auxiliar Administrativo,Feira de Santana,BA
918,18-25,Auxiliar Administrativo,Salvador,BA
919,18-25,Técnico em Enfermagem,Campinas,SP
920,26-35,Estudante,Salvador,BA
921,36-45,Administrador,Campinas,SP
922,18-25,Engenheiro,Caxias do Sul,RS
923,26-35,Professor,Uberlândia,MG
924,18-25,Professor,Caxias do Sul,RS
925,36-45,Administrador,Uberlândia,MG
926,36-45,Engenheiro,São Paulo,SP
927,60+,Engenheiro,Rio de Janeiro,RJ
928,36-45,Programador,Feira de Santana,BA
929,60+,Estudante,Belo Horizonte,MG
930,46-60,Programador,Feira de Santana,BA
931,46-60,Programador,Caxias do Sul,RS
932,60+,Auxiliar Administrativo,São Paulo,SP
933,60+,Auxiliar Administrativo,Campinas,SP
934,18-25,Vendedor,Rio de Janeiro,RJ
935,36-45,Professor,Feira de Santana,BA
936,18-25,Auxiliar Administrativo,Uberlândia,MG
937,26-35,Técnico em Enfermagem,Campinas,SP
938,46-60,Administrador,Campinas,SP
939,18-25,Contador,Campinas,SP
940,46-60,Programador,Rio de Janeiro,RJ
941,60+,Contador,Niterói,RJ
942,26-35,Engenheiro,Rio de Janeiro,RJ
943,18-25,Estudante,Feira de Santana,BA
944,46-60,Vendedor,Feira de Santana,BA
945,60+,Vendedor,São Paulo,SP
946,26-35,Estudante,Caxias do Sul,RS
947,36-45,Programador,Niterói,RJ
948,36-45,Programador,Niterói,RJ
949,18-25,Professor,Belo Horizonte,MG
950,46-60,Engenheiro,Salvador,BA
951,18-25,Programador,Belo Horizonte,MG
952,26-35,Vendedor,Feira de Santana,BA
953,26-35,Estudante,Niterói,RJ
954,60+,Contador,Porto Alegre,RS
955,26-35,Vendedor,Feira de Santana,BA
956,36-45,Analista de Sistemas,Feira de Santana,BA
957,46-60,Programador,Rio de Janeiro,RJ
958,18-25,Analista de Sistemas,Curitiba,PR
959,26-35,Técnico em Enfermagem,Porto Alegre,RS
960,46-60,Programador,Londrina,PR
961,18-25,Professor,Rio de Janeiro,RJ
962,18-25,Estudante,Belo Horizonte,MG
963,46-60,Vendedor,Niterói,RJ
964,46-60,Engenheiro,Caxias do Sul,RS
965,60+,Analista de Sistemas,Campinas,SP
966,60+,Programador,Belo Horizonte,MG
967,60+,Engenheiro,Niterói,RJ
968,18-25,Auxiliar Administrativo,São Paulo,SP
969,36-45,Administrador,Feira de Santana,BA
970,18-25,Técnico em Enfermagem,Curitiba,PR
971,60+,Professor,Uberlândia,MG
972,36-45,Técnico em Enfermagem,Rio de Janeiro,RJ
973,60+,Auxiliar Administrativo,Uberlândia,MG
974,60+,Engenheiro,Caxias do Sul,RS
975,18-25,Auxiliar Administrativo,Rio de Janeiro,RJ
976,60+,Contador,Feira de Santana,BA
977,18-25,Contador,Curitiba,PR
978,26-35,Programador,São Paulo,SP
979,36-45,Vendedor,São Paulo,SP
980,60+,Engenheiro,Campinas,SP
981,18-25,Enfermeiro,Salvador,BA
982,46-60,Programador,Rio de Janeiro,RJ
983,46-60,Auxiliar Administrativo,Londrina,PR
984,18-25,Contador,Salvador,BA
985,26-35,Enfermeiro,Porto Alegre,RS
986,26-35,Analista de Sistemas,Niterói,RJ
987,46-60,Vendedor,São Paulo,SP
988,60+,Programador,Curitiba,PR
989,36-45,Programador,Uberlândia,MG
990,36-45,Enfermeiro,Londrina,PR
991,18-25,Técnico em Enfermagem,São Paulo,SP
992,18-25,Engenheiro,Uberlândia,MG
993,36-45,Estudante,Londrina,PR
994,60+,Vendedor,Belo Horizonte,MG
995,46-60,Vendedor,Salvador,BA
996,36-45,Contador,Feira de Santana,BA
997,46-60,Técnico em Enfermagem,Caxias do Sul,RS
998,36-45,Contador,Campinas,SP
999,60+,Técnico em Enfermagem,Feira de Santana,BA
1000,36-45,Analista de Sistemas,Rio de Janeiro,RJ
